epoch,value,date_time
1582671600.0,2.0,2020-02-25 15:00:00-08:00
1582682400.0,1.0,2020-02-25 18:00:00-08:00
1582698600.0,1.0,2020-02-25 22:30:00-08:00
1582720200.0,2.0,2020-02-26 04:30:00-08:00
1582736400.0,2.0,2020-02-26 09:00:00-08:00
1582758000.0,2.0,2020-02-26 15:00:00-08:00
1582779600.0,2.0,2020-02-26 21:00:00-08:00
1582813800.0,1.5,2020-02-27 06:30:00-08:00
1582828200.0,2.0,2020-02-27 10:30:00-08:00
1582846200.0,2.0,2020-02-27 15:30:00-08:00
1582870500.0,1.5,2020-02-27 22:15:00-08:00
1582893000.0,1.5,2020-02-28 04:30:00-08:00
1582909200.0,2.0,2020-02-28 09:00:00-08:00
1582930200.0,3.0,2020-02-28 14:50:00-08:00
1582954200.0,1.5,2020-02-28 21:30:00-08:00
1582992000.0,1.5,2020-02-29 08:00:00-08:00
1583013600.0,2.5,2020-02-29 14:00:00-08:00
1583042400.0,1.5,2020-02-29 22:00:00-08:00
1583065800.0,1.5,2020-03-01 04:30:00-08:00
1583085600.0,2.0,2020-03-01 10:00:00-08:00
1583108100.0,2.0,2020-03-01 16:15:00-08:00
1583130600.0,1.5,2020-03-01 22:30:00-08:00
1583155800.0,1.5,2020-03-02 05:30:00-08:00
1583168400.0,2.5,2020-03-02 09:00:00-08:00
1583177400.0,2.0,2020-03-02 11:30:00-08:00
1583196300.0,2.0,2020-03-02 16:45:00-08:00
1583217900.0,1.0,2020-03-02 22:45:00-08:00
1583238600.0,1.5,2020-03-03 04:30:00-08:00
1583251200.0,2.0,2020-03-03 08:00:00-08:00
1583276400.0,2.0,2020-03-03 15:00:00-08:00
1583298000.0,1.5,2020-03-03 21:00:00-08:00
1583325000.0,1.5,2020-03-04 04:30:00-08:00
1583341800.0,2.0,2020-03-04 09:10:00-08:00
1583361000.0,2.0,2020-03-04 14:30:00-08:00
1583373600.0,2.0,2020-03-04 18:00:00-08:00
1583389800.0,0.5,2020-03-04 22:30:00-08:00
1583402400.0,1.5,2020-03-05 02:00:00-08:00
1583424900.0,2.0,2020-03-05 08:15:00-08:00
1583452800.0,2.0,2020-03-05 16:00:00-08:00
1583474400.0,1.5,2020-03-05 22:00:00-08:00
1583496000.0,1.5,2020-03-06 04:00:00-08:00
1583515800.0,2.0,2020-03-06 09:30:00-08:00
1583539200.0,2.0,2020-03-06 16:00:00-08:00
1583578800.0,1.5,2020-03-07 03:00:00-08:00
1583602200.0,2.0,2020-03-07 09:30:00-08:00
1583622000.0,2.0,2020-03-07 15:00:00-08:00
1583649000.0,1.0,2020-03-07 22:30:00-08:00
1583676000.0,1.5,2020-03-08 07:00:00-07:00
1583697600.0,1.0,2020-03-08 13:00:00-07:00
1583704800.0,2.0,2020-03-08 15:00:00-07:00
1583715600.0,4.0,2020-03-08 18:00:00-07:00
1583740800.0,1.5,2020-03-09 01:00:00-07:00
1583769600.0,2.0,2020-03-09 09:00:00-07:00
1583791200.0,2.0,2020-03-09 15:00:00-07:00
1583815500.0,1.5,2020-03-09 21:45:00-07:00
1583834400.0,1.5,2020-03-10 03:00:00-07:00
1583856000.0,2.0,2020-03-10 09:00:00-07:00
1583877600.0,2.0,2020-03-10 15:00:00-07:00
1583902800.0,1.5,2020-03-10 22:00:00-07:00
1583920800.0,1.5,2020-03-11 03:00:00-07:00
1583945100.0,1.5,2020-03-11 09:45:00-07:00
1583964000.0,1.5,2020-03-11 15:00:00-07:00
1583974800.0,1.0,2020-03-11 18:00:00-07:00
1583994600.0,1.0,2020-03-11 23:30:00-07:00
1584007200.0,1.5,2020-03-12 03:00:00-07:00
1584032400.0,1.5,2020-03-12 10:00:00-07:00
1584050400.0,4.0,2020-03-12 15:00:00-07:00
1584075600.0,1.0,2020-03-12 22:00:00-07:00
1584090000.0,1.5,2020-03-13 02:00:00-07:00
1584115200.0,1.5,2020-03-13 09:00:00-07:00
1584126600.0,1.0,2020-03-13 12:10:00-07:00
1584136800.0,3.0,2020-03-13 15:00:00-07:00
1584166500.0,0.5,2020-03-13 23:15:00-07:00
1584176400.0,1.5,2020-03-14 02:00:00-07:00
1584199800.0,1.5,2020-03-14 08:30:00-07:00
1584219600.0,2.0,2020-03-14 14:00:00-07:00
1584245700.0,1.5,2020-03-14 21:15:00-07:00
1584266400.0,1.5,2020-03-15 03:00:00-07:00
1584289800.0,2.0,2020-03-15 09:30:00-07:00
1584311400.0,2.5,2020-03-15 15:30:00-07:00
1584333900.0,1.0,2020-03-15 21:45:00-07:00
1584352800.0,1.5,2020-03-16 03:00:00-07:00
1584375300.0,2.0,2020-03-16 09:15:00-07:00
1584396000.0,3.0,2020-03-16 15:00:00-07:00
1584439200.0,1.5,2020-03-17 03:00:00-07:00
1584461700.0,2.0,2020-03-17 09:15:00-07:00
1584480600.0,3.0,2020-03-17 14:30:00-07:00
1584507600.0,1.0,2020-03-17 22:00:00-07:00
1584531000.0,1.5,2020-03-18 04:30:00-07:00
1584544800.0,2.0,2020-03-18 08:20:00-07:00
1584568800.0,3.0,2020-03-18 15:00:00-07:00
